Year          Team                 SOS         Record
2011   Howard            260   6-24
2012   Howard            244   9-21
2013   Howard            318   6-23
2014   Howard            278   6-25
2015   Howard            334   13-16
2016   Howard            337   10-20
2017   Howard            327   8-24
2010   Idaho             143   15-16
2011   Idaho             170   17-13
2012   Idaho             172   16-13
2013   Idaho             123   11-18
2014   Idaho             255   15-18
2015   Idaho             222   11-17
2016   Idaho             314   19-12
2017   Idaho             307   16-13
2010   Idaho St.         185   7-22
2011   Idaho St.        206   7-20
2012   Idaho St.        253   8-21
2013   Idaho St.        301   5-24
2014   Idaho St.        262   9-18
2015   Idaho St.        322   5-23
2016   Idaho St.        347   14-15
2017   Idaho St.        246   4-26
2010   Ill.-Chicago     193   8-22
2011   Ill.-Chicago     157   6-24
2012   Ill.-Chicago     217   7-21
2013   Ill.-Chicago     159   16-15
2014   Ill.-Chicago     184   4-25
2015   Ill.-Chicago     177   8-24
2016   Ill.-Chicago     265   3-25
2017   Ill.-Chicago     270   13-18
2010   Illinois          34   19-14
2011   Illinois          21   19-13
2012   Illinois          33   17-15
2013   Illinois           9   21-12
2014   Illinois          37   19-14
2015   Illinois          74   19-13
2016   Illinois          70   15-19
2017   Illinois          20   17-14
2010   Illinois St.     148   22-10
2011   Illinois St.     214   12-19
2012   Illinois St.     118   20-13
2013   Illinois St.     118   18-15
2014   Illinois St.     111   15-15
2015   Illinois St.      54   20-12
2016   Illinois St.      94   17-14
2017   Illinois St.     123   26-6
2015   Incarnate Word   266   14-10
2016   Incarnate Word   261   14-11
2017   Incarnate Word   250   8-17
2010   Indiana           89   10-21
2011   Indiana           65   12-20
2012   Indiana           27   25-8
2013   Indiana           10   27-6
2014   Indiana           62   17-15
2015   Indiana           25   20-13
2016   Indiana           97   25-7
2017   Indiana           36   18-15
2010   Indiana St.    50   17-14
2011   Indiana St.    86   19-13
2012   Indiana St.   161   17-14
2013   Indiana St.    45   17-14
2014   Indiana St.   132   21-10
2015   Indiana St.   148   14-16
2016   Indiana St.   116   14-17
2017   Indiana St.   143   10-20
2010   Iona          158   21-10
2011   Iona          103   22-11
2012   Iona          144   25-7
2013   Iona          136   20-13
2014   Iona          113   22-10
2015   Iona          187   26-8
2016   Iona          142   22-10
2017   Iona          158   22-12
2010   Iowa           47   10-22
2011   Iowa           75   11-20
2012   Iowa           92   17-16
2013   Iowa          122   21-12
2014   Iowa           43   19-12
2015   Iowa           29   21-11
2016   Iowa           28   21-10
2017   Iowa           56   18-14
2010   Iowa St.       43   15-17
2011   Iowa St.       81   16-16
2012   Iowa St.       38   22-10
2013   Iowa St.       37   22-11
2014   Iowa St.       25   26-7
2015   Iowa St.       11   25-8
2016   Iowa St.       12   21-11
2017   Iowa St.       23   23-10
2010   IPFW          296   16-15
2011   IPFW          289   17-12
2012   IPFW          219   8-19
2013   IPFW          319   14-17
2014   IPFW          280   21-10
2015   IPFW          257   13-14
2016   IPFW          159   22-9
2010   IUPUI         177   24-10
2011   IUPUI         137   17-14
2012   IUPUI         143   12-18
2013   IUPUI              210   4-26
2014   IUPUI              138   3-26
2015   IUPUI              172   10-21
2016   IUPUI              141   12-19
2017   IUPUI              219   12-18
2010   Jackson St.        317   19-12
2011   Jackson St.        337   15-15
2012   Jackson St.        280   6-24
2013   Jackson St.        343   11-18
2014   Jackson St.        312   11-20
2015   Jackson St.        346   11-21
2016   Jackson St.        330   17-15
2017   Jackson St.        343   12-17
2010   Jacksonville       253   19-12
2011   Jacksonville       273   18-11
2012   Jacksonville       153   8-22
2013   Jacksonville       321   12-18
2014   Jacksonville       260   10-18
2015   Jacksonville       335   7-22
2016   Jacksonville       346   12-16
2017   Jacksonville       348   13-15
2010   Jacksonville St.   265   11-19
2011   Jacksonville St.   296   4-25
2012   Jacksonville St.   208   13-17
2013   Jacksonville St.   217   15-11
2014   Jacksonville St.   299   8-21
2015   Jacksonville St.   290   10-19
2016   Jacksonville St.   193   6-23
2017   Jacksonville St.   239   18-14
2010   James Madison      231   13-20
2011   James Madison      151   21-11
2012   James Madison      265   12-20
2013   James Madison      282   20-14
2014   James Madison      164   11-20
2015   James Madison      143   19-13
2016   James Madison      138   20-11
2017   James Madison      141   9-23
2010   Kansas               7   32-2
2011   Kansas              10   32-2
2012   Kansas              12   27-6
2013   Kansas              20   29-5
2014   Kansas               1   24-9
2015   Kansas           1   26-8
2016   Kansas           3   29-4
2017   Kansas          28   28-4
2010   Kansas St.       2   26-7
2011   Kansas St.       7   21-10
2012   Kansas St.      64   21-10
2013   Kansas St.      43   26-7
2014   Kansas St.      34   20-12
2015   Kansas St.      19   15-17
2016   Kansas St.      24   17-16
2017   Kansas St.      41   20-13
2010   Kennesaw St.   297   13-20
2011   Kennesaw St.   256   7-23
2012   Kennesaw St.   232   2-28
2013   Kennesaw St.   271   3-27
2014   Kennesaw St.   209   4-25
2015   Kennesaw St.   292   8-22
2016   Kennesaw St.   174   9-20
2017   Kennesaw St.   308   12-18
2010   Kent St.        72   23-9
2011   Kent St.       116   22-11
2012   Kent St.       167   20-11
2013   Kent St.       150   19-13
2014   Kent St.       214   15-16
2015   Kent St.       152   20-11
2016   Kent St.       144   18-13
2017   Kent St.       210   21-13
2010   Kentucky        36   32-2
2011   Kentucky         8   25-8
2012   Kentucky        28   32-2
2013   Kentucky        73   21-11
2014   Kentucky         2   24-10
2015   Kentucky        36   34-0
2016   Kentucky        25   26-8
2017   Kentucky        17   29-5
2010   La Salle        94   12-18
2011   La Salle       105   15-18
2012   La Salle       124   21-12
2013   La Salle        79   21-9
2014   La Salle        32   15-16
2015   La Salle        63   17-16
2016   La Salle        63   8-22
2017   La Salle         86   15-15
2010   La.-Lafayette   280   13-17
2011   La.-Lafayette   263   13-14
2012   La.-Lafayette   198   15-15
2013   La.-Lafayette   146   12-20
2014   La.-Lafayette   155   20-11
2015   La.-Lafayette   164   17-13
2016   La.-Lafayette   165   15-14
2017   La.-Lafayette   170   19-12
2010   La.-Monroe      267   12-19
2011   La.-Monroe      265   5-24
2012   La.-Monroe      210   3-25
2013   La.-Monroe      135   4-23
2014   La.-Monroe      171   9-17
2015   La.-Monroe      169   17-12
2016   La.-Monroe      114   18-13
2017   La.-Monroe      150   7-24
2010   Lafayette       324   19-13
2011   Lafayette       166   12-19
2012   Lafayette       162   13-18
2013   Lafayette       157   18-15
2014   Lafayette       185   10-20
2015   Lafayette       182   19-12
2016   Lafayette       243   6-24
2017   Lafayette       283   8-21
2010   Lamar           273   14-18
2011   Lamar           315   9-17
2012   Lamar           207   21-11
2013   Lamar           254   3-28
2014   Lamar           288   3-25
2015   Lamar           217   11-15
2016   Lamar           340   7-19
2017   Lamar           336   15-14
2010   Lehigh          289   22-10
2011   Lehigh          283   16-15
2012   Lehigh          297   25-7
2013   Lehigh          233   20-9
2014   Lehigh          239   14-18
2015   Lehigh          195   15-14
2016   Lehigh          155   16-15
2017   Lehigh          169   19-12
2010   Liberty         259   15-16
2011   Liberty          253   16-13
2012   Liberty          295   11-18
2013   Liberty          295   12-20
2014   Liberty          250   8-21
2015   Liberty          320   4-24
2016   Liberty          232   10-19
2017   Liberty          203   16-13
2010   Lipscomb         309   17-13
2011   Lipscomb         186   16-13
2012   Lipscomb         204   12-18
2013   Lipscomb         186   11-18
2014   Lipscomb         265   14-15
2015   Lipscomb         305   11-17
2016   Lipscomb         184   10-21
2017   Lipscomb         264   17-13
2010   LIU Brooklyn     284   14-17
2011   LIU Brooklyn     266   27-5
2012   LIU Brooklyn     239   25-8
2013   LIU Brooklyn     300   20-13
2014   LIU Brooklyn     272   9-20
2015   LIU Brooklyn     237   12-18
2016   LIU Brooklyn     343   16-15
2017   LIU Brooklyn     340   19-12
2010   Long Beach St.    91   17-16
2011   Long Beach St.   132   20-11
2012   Long Beach St.   109   23-8
2013   Long Beach St.   147   17-13
2014   Long Beach St.   126   13-17
2015   Long Beach St.    79   14-17
2016   Long Beach St.    68   18-14
2017   Long Beach St.   196   13-19
2010   Longwood         252   12-19
2011   Longwood         319   8-19
2012   Longwood         337   6-21
2013   Longwood         309   6-25
2014   Longwood         289   4-24
2015   Longwood         300   9-23
2016   Longwood         303   7-23
2017   Longwood         299   4-24
2010   Louisiana Tech   190   23-10
2011   Louisiana Tech   197   11-20
2012   Louisiana Tech   148   16-16
2013   Louisiana Tech     199   25-6
2014   Louisiana Tech     203   26-7
2015   Louisiana Tech     202   24-8
2016   Louisiana Tech     267   21-9
2017   Louisiana Tech     242   21-10
2010   Louisville           6   20-12
2011   Louisville          12   25-9
2012   Louisville           9   26-9
2013   Louisville           7   29-5
2014   Louisville          81   29-5
2015   Louisville          20   24-8
2016   Louisville          35   23-8
2017   Louisville           2   24-8
2010   Loyola Chicago     229   14-16
2011   Loyola Chicago     233   16-15
2012   Loyola Chicago     272   6-23
2013   Loyola Chicago     293   14-16
2014   Loyola Chicago     213   9-22
2015   Loyola Chicago     138   17-13
2016   Loyola Chicago     264   14-17
2017   Loyola Chicago     224   16-14
2010   Loyola Maryland    219   13-17
2011   Loyola Maryland    196   15-15
2012   Loyola Maryland    215   24-8
2013   Loyola Maryland    163   21-11
2014   Loyola Maryland    261   10-19
2015   Loyola Maryland    264   11-19
2016   Loyola Maryland    146   9-21
2017   Loyola Maryland    229   14-16
2010   Loyola Marymount   204   18-15
2011   Loyola Marymount   159   9-21
2012   Loyola Marymount   110   17-12
2013   Loyola Marymount   104   10-22
2014   Loyola Marymount   115   12-19
2015   Loyola Marymount    98   7-23
2016   Loyola Marymount   242   13-17
2017   Loyola Marymount    96   14-15
2010   LSU                109   11-20
2011   LSU                114   11-21
2012   LSU                 55   18-14
2013   LSU                108   19-12
2014   LSU                 85   19-13
2015   LSU          95   22-10
2016   LSU          77   19-14
2017   LSU          32   10-21
2010   Maine       270   19-11
2011   Maine       261   14-15
2012   Maine       313   11-17
2013   Maine       239   10-19
2014   Maine       243   5-23
2015   Maine       215   3-27
2016   Maine       289   8-22
2017   Maine       207   6-25
2010   Manhattan   154   11-20
2011   Manhattan   148   6-25
2012   Manhattan   277   20-12
2013   Manhattan   144   14-18
2014   Manhattan   187   25-7
2015   Manhattan   291   19-13
2016   Manhattan   204   13-18
2017   Manhattan   174   10-22
2010   Marist      155   1-29
2011   Marist      144   6-27
2012   Marist      199   14-18
2013   Marist      178   10-21
2014   Marist      193   12-19
2015   Marist      243   7-25
2016   Marist      245   7-23
2017   Marist      146   8-24
2010   Marquette    45   22-11
2011   Marquette    30   20-14
2012   Marquette    20   25-7
2013   Marquette    14   23-8
2014   Marquette    60   17-15
2015   Marquette    35   13-19
2016   Marquette   124   20-13
2017   Marquette    59   19-12
2010   Marshall    112   23-9
2011   Marshall     64   20-11
2012   Marshall     16   20-13
2013   Marshall    124   12-19
2014   Marshall    188   9-22
2015   Marshall    184   9-21
2016   Marshall     83   17-16
2017   Marshall         99   19-15
2010   Maryland         21   23-8
2011   Maryland         72   19-14
2012   Maryland         56   17-15
2013   Maryland         98   22-12
2014   Maryland         10   16-15
2015   Maryland         47   27-6
2016   Maryland         29   24-8
2017   Maryland         52   23-8
2010   Massachusetts    66   12-20
2011   Massachusetts   115   14-15
2012   Massachusetts   131   22-11
2013   Massachusetts    74   21-11
2014   Massachusetts    42   24-8
2015   Massachusetts    42   17-15
2016   Massachusetts    99   14-18
2017   Massachusetts   121   15-18
2010   McNeese         312   10-20
2011   McNeese         270   17-11
2012   McNeese         185   14-15
2013   McNeese         255   11-17
2014   McNeese         180   7-20
2015   McNeese         302   11-16
2016   McNeese         345   7-19
2017   McNeese         164   5-21
2010   Memphis          70   23-9
2011   Memphis          42   25-9
2012   Memphis          17   26-8
2013   Memphis          63   30-4
2014   Memphis          30   22-9
2015   Memphis          38   18-14
2016   Memphis         105   19-15
2017   Memphis         148   19-13
2010   Mercer          214   16-17
2011   Mercer          190   14-18
2012   Mercer          270   21-11
2013   Mercer          262   21-11
2014   Mercer          216   23-8
2015   Mercer          277   16-15
2016   Mercer          299   17-14
2017   Mercer          129   13-17
2010   Miami (FL)      114   20-13
2011   Miami (FL)      43   19-14
2012   Miami (FL)      53   19-12
2013   Miami (FL)       3   27-6
2014   Miami (FL)      93   17-16
2015   Miami (FL)      77   21-12
2016   Miami (FL)      18   25-7
2017   Miami (FL)      40   21-11
2010   Miami (OH)      68   14-18
2011   Miami (OH)      36   15-16
2012   Miami (OH)      88   8-21
2013   Miami (OH)     151   8-22
2014   Miami (OH)     122   13-17
2015   Miami (OH)     140   12-19
2016   Miami (OH)      78   12-20
2017   Miami (OH)     197   9-21
2010   Michigan        62   15-17
2011   Michigan        19   19-13
2012   Michigan        19   23-9
2013   Michigan        68   25-7
2014   Michigan         7   25-8
2015   Michigan         9   15-16
2016   Michigan        43   21-12
2017   Michigan        24   24-11
2010   Michigan St.    51   24-8
2011   Michigan St.    13   18-14
2012   Michigan St.     1   26-7
2013   Michigan St.     4   24-8
2014   Michigan St.    24   26-8
2015   Michigan St.     6   23-11
2016   Michigan St.    56   29-5
2017   Michigan St.    11   19-14
2010   Middle Tenn.   227   19-13
2011   Middle Tenn.   246   15-16
2012   Middle Tenn.   194   24-6
2013   Middle Tenn.   121   28-5
2014   Middle Tenn.   124   22-9
2015   Middle Tenn.   133   18-16
2016   Middle Tenn.   140   22-9
2017   Middle Tenn.   156   29-4
2010   Milwaukee      175   20-14
2011   Milwaukee      104   19-13
2012   Milwaukee      179   18-13
2013   Milwaukee          183   6-24
2014   Milwaukee          228   20-13
2015   Milwaukee          157   12-16
2016   Milwaukee          283   18-13
2017   Milwaukee          155   10-24
2010   Minnesota           30   21-13
2011   Minnesota           35   17-14
2012   Minnesota           51   19-14
2013   Minnesota            6   20-12
2014   Minnesota            8   19-13
2015   Minnesota           73   17-15
2016   Minnesota          101   8-23
2017   Minnesota           21   24-9
2010   Mississippi St.     87   23-11
2011   Mississippi St.     85   17-14
2012   Mississippi St.     91   21-11
2013   Mississippi St.    117   10-22
2014   Mississippi St.    195   14-19
2015   Mississippi St.    127   12-19
2016   Mississippi St.     76   14-17
2017   Mississippi St.    107   16-16
2010   Mississippi Val.   325   9-23
2011   Mississippi Val.   303   13-19
2012   Mississippi Val.   310   21-12
2013   Mississippi Val.   333   5-23
2014   Mississippi Val.   345   6-23
2015   Mississippi Val.   338   6-26
2016   Mississippi Val.   304   8-27
2017   Mississippi Val.   298   7-25
2010   Missouri            55   22-10
2011   Missouri            62   22-10
2012   Missouri            89   30-4
2013   Missouri            38   23-10
2014   Missouri            74   22-11
2015   Missouri            18   8-23
2016   Missouri            74   10-21
2017   Missouri            85   8-24
2010   Missouri St.       133   20-12
2011   Missouri St.       128   25-8
2012   Missouri St.        74   15-16
2013   Missouri St.        71   9-22
2014   Missouri St.        97   19-12
2015   Missouri St.   107   9-20
2016   Missouri St.   198   12-19
2017   Missouri St.   232   16-16
2010   Monmouth       308   12-19
2011   Monmouth       203   9-21
2012   Monmouth       205   12-20
2013   Monmouth       250   10-21
2014   Monmouth       276   11-21
2015   Monmouth       219   18-15
2016   Monmouth       176   27-7
2017   Monmouth       192   27-6
2010   Montana        201   22-9
2011   Montana        224   19-10
2012   Montana        191   23-6
2013   Montana        218   23-6
2014   Montana        248   15-13
2015   Montana        199   18-12
2016   Montana        251   18-11
2017   Montana        288   16-16
2010   Montana St.    241   15-14
2011   Montana St.    248   11-18
2012   Montana St.    307   10-17
2013   Montana St.    337   11-17
2014   Montana St.    313   12-17
2015   Montana St.    228   6-23
2016   Montana St.    327   13-17
2017   Montana St.    302   14-16
2010   Morehead St.   145   23-10
2011   Morehead St.   175   22-9
2012   Morehead St.   182   15-15
2013   Morehead St.   106   13-18
2014   Morehead St.   202   18-13
2015   Morehead St.   212   15-17
2016   Morehead St.   172   17-12
2017   Morehead St.   149   12-16
2010   Morgan St.     286   27-9
2011   Morgan St.     317   17-14
2012   Morgan St.     261   9-20
2013   Morgan St.     336   17-15
2014   Morgan St.     245   15-16
2015   Morgan St.     325   7-24
2016   Morgan St.     296   8-22
2017   Morgan St.       349   13-16
2010   Mt. St. Mary's   178   16-15
2011   Mt. St. Mary's   146   11-21
2012   Mt. St. Mary's   245   8-21
2013   Mt. St. Mary's   174   18-14
2014   Mt. St. Mary's   241   16-16
2015   Mt. St. Mary's   213   15-15
2016   Mt. St. Mary's   277   14-19
2017   Mt. St. Mary's   186   19-15
2010   Murray St.       275   30-4
2011   Murray St.       242   21-8
2012   Murray St.       159   27-1
2013   Murray St.       194   19-10
2014   Murray St.       236   16-11
2015   Murray St.       233   25-5
2016   Murray St.       153   15-14
2017   Murray St.       261   14-17
2010   N.C. A&T         263   11-22
2011   N.C. A&T         235   12-17
2012   N.C. A&T         273   9-20
2013   N.C. A&T         316   18-16
2014   N.C. A&T         331   8-23
2015   N.C. A&T         341   7-23
2016   N.C. A&T         350   10-21
2017   N.C. A&T         339   1-29
2010   N.C. Central     335   7-22
2011   N.C. Central     335   11-15
2012   N.C. Central     315   13-15
2013   N.C. Central     303   19-9
2014   N.C. Central     336   26-5
2015   N.C. Central     348   22-7
2016   N.C. Central     333   10-19
2017   N.C. Central     351   22-8
2010   Navy             298   13-17
2011   Navy             292   10-20
2012   Navy             173   2-26
2013   Navy             201   7-23
2014   Navy             302   8-21
2015   Navy             196   12-19
2016   Navy             318   18-14
2017   Navy             195   15-16
2013   Neb. Omaha       294   10-19
2010   Nebraska          61   15-18
2011   Nebraska          57   19-12
2012   Nebraska          58   12-18
2013   Nebraska          12   15-18
2014   Nebraska          31   19-12
2015   Nebraska          57   13-18
2016   Nebraska         111   16-18
2017   Nebraska           3   11-19
2010   Nevada            67   20-12
2011   Nevada            95   12-19
2012   Nevada           170   24-6
2013   Nevada            56   11-19
2014   Nevada           104   15-17
2015   Nevada           210   7-22
2016   Nevada           145   17-13
2017   Nevada           124   28-6
2010   New Hampshire    244   13-17
2011   New Hampshire    314   11-18
2012   New Hampshire    337   12-16
2013   New Hampshire    232   8-20
2014   New Hampshire    311   5-24
2015   New Hampshire    321   17-12
2016   New Hampshire    305   17-12
2017   New Hampshire    185   17-12
2010   New Mexico        77   29-4
2011   New Mexico        94   20-12
2012   New Mexico        87   26-6
2013   New Mexico         2   29-5
2014   New Mexico        28   27-6
2015   New Mexico       115   15-16
2016   New Mexico       112   17-15
2017   New Mexico        54   17-14
2010   New Mexico St.    57   22-11
2011   New Mexico St.    49   14-17
2012   New Mexico St.   105   24-9
2013   New Mexico St.   107   23-10
2014   New Mexico St.   170   25-9
2015   New Mexico St.   204   21-10
2016   New Mexico St.   209   21-10
2017   New Mexico St.   257   25-5
2010   New Orleans      281   8-22
2013   New Orleans      341   4-18
2014   New Orleans      258   8-14
2015   New Orleans      337   8-18
2016   New Orleans      349   7-20
2017   New Orleans      276   17-11
2010   Niagara          152   18-15
2011   Niagara          217   9-23
2012   Niagara          150   14-19
2013   Niagara          149   19-13
2014   Niagara          168   7-26
2015   Niagara          166   8-22
2016   Niagara          221   7-25
2017   Niagara          226   10-23
2010   Nicholls St.     224   11-19
2011   Nicholls St.     247   10-14
2012   Nicholls St.     287   8-20
2013   Nicholls St.     299   9-21
2014   Nicholls St.     344   12-14
2015   Nicholls St.     311   7-19
2016   Nicholls St.     269   8-23
2017   Nicholls St.     256   10-17
2010   NJIT             342   10-21
2011   NJIT             344   11-15
2012   NJIT             334   11-17
2013   NJIT             347   12-13
2014   NJIT             343   9-16
2015   NJIT             244   14-11
2016   NJIT             287   16-14
2017   NJIT             244   9-20
2010   Norfolk St.      276   11-19
2011   Norfolk St.      251   12-20
2012   Norfolk St.      300   24-8
2013   Norfolk St.      335   21-11
2014   Norfolk St.      301   16-14
2015   Norfolk St.      250   18-13
2016   Norfolk St.      288   15-16
2017   Norfolk St.      322   15-16
2010   North Carolina    16   16-16
2011   North Carolina     6   26-7
2012   North Carolina     5   29-5
2013   North Carolina     8   23-10
2014   North Carolina    16   23-9
2015   North Carolina     2   24-11
2016   North Carolina        27   28-6
2017   North Carolina        13   26-7
2010   North Carolina St.    79   19-15
2011   North Carolina St.    70   15-16
2012   North Carolina St.    23   22-12
2013   North Carolina St.    35   24-10
2014   North Carolina St.    29   21-13
2015   North Carolina St.     7   20-13
2016   North Carolina St.    62   16-17
2017   North Carolina St.    65   15-17
2010   North Dakota         336   8-23
2011   North Dakota         342   15-14
2012   North Dakota         320   13-14
2013   North Dakota         261   14-16
2014   North Dakota         221   15-16
2015   North Dakota         231   6-22
2016   North Dakota         241   14-15
2017   North Dakota         304   19-9
2010   North Dakota St.     247   11-18
2011   North Dakota St.     258   12-15
2012   North Dakota St.     254   15-13
2013   North Dakota St.     185   22-9
2014   North Dakota St.     106   22-6
2015   North Dakota St.     267   21-9
2016   North Dakota St.     179   18-13
2017   North Dakota St.     168   17-11
2010   North Florida        239   13-18
2011   North Florida        110   15-19
2012   North Florida        197   15-16
2013   North Florida        219   12-19
2014   North Florida        212   14-16
2015   North Florida        323   20-11
2016   North Florida        321   19-11
2017   North Florida        134   11-19
2010   North Texas          272   24-8
2011   North Texas          237   20-11
2012   North Texas          276   15-14
2013   North Texas          190   11-19
2014   North Texas          162   13-16
2015   North Texas          159   12-17
2016   North Texas          220   10-20
2017   North Texas          272   6-22
2010   Northeastern      81   20-12
2011   Northeastern      68   11-20
2012   Northeastern     176   14-17
2013   Northeastern     205   20-12
2014   Northeastern     112   11-21
2015   Northeastern     183   23-11
2016   Northeastern      90   17-15
2017   Northeastern     108   15-16
2010   Northern Ariz.   243   14-14
2011   Northern Ariz.   286   17-12
2012   Northern Ariz.   279   3-24
2013   Northern Ariz.   196   11-21
2014   Northern Ariz.   277   14-17
2015   Northern Ariz.   248   18-14
2016   Northern Ariz.   136   3-25
2017   Northern Ariz.   315   8-23
2010   Northern Colo.   328   24-7
2011   Northern Colo.   200   19-10
2012   Northern Colo.   155   8-18
2013   Northern Colo.   253   11-18
2014   Northern Colo.   293   16-13
2015   Northern Colo.   278   13-15
2016   Northern Colo.   229   8-21
2017   Northern Colo.   284   9-18
2010   Northern Ill.    225   10-20
2011   Northern Ill.    310   8-21
2012   Northern Ill.    282   4-25
2013   Northern Ill.    280   4-25
2014   Northern Ill.    197   14-17
2015   Northern Ill.    135   13-16
2016   Northern Ill.    182   17-12
2017   Northern Ill.    265   12-17
2013   Northern Ky.     325   11-16
2014   Northern Ky.     264   9-21
2015   Northern Ky.     238   11-17
2016   Northern Ky.     181   7-21
2017   Northern Ky.     209   22-10
2010   Northwestern     156   20-13
2011   Northwestern      79   18-13
2012   Northwestern      21   18-13
2013   Northwestern      72   13-19
2014   Northwestern      52   14-19
2015   Northwestern        52   15-17
2016   Northwestern       157   20-12
2017   Northwestern        63   23-11
2010   Northwestern St.   316   10-19
2011   Northwestern St.   339   16-13
2012   Northwestern St.   241   13-16
2013   Northwestern St.   182   19-8
2014   Northwestern St.   160   13-14
2015   Northwestern St.   186   15-12
2016   Northwestern St.   319   5-19
2017   Northwestern St.   335   9-16
2010   Notre Dame          37   23-11
2011   Notre Dame          25   26-6
2012   Notre Dame          43   22-11
2013   Notre Dame          54   25-9
2014   Notre Dame          71   15-17
2015   Notre Dame          82   29-5
2016   Notre Dame          26   21-11
2017   Notre Dame          30   25-9
2010   Oakland            136   26-8
2011   Oakland            138   24-9
2012   Oakland            128   16-15
2013   Oakland            140   14-16
2014   Oakland             70   11-20
2015   Oakland            110   14-16
2016   Oakland            212   21-11
2017   Oakland            263   22-8
2010   Ohio               104   21-14
2011   Ohio               156   18-15
2012   Ohio               174   26-7
2013   Ohio               148   24-9
2014   Ohio               125   22-11
2015   Ohio                80   10-20
2016   Ohio                95   20-11
2017   Ohio               191   19-11
2010   Ohio St.            73   27-7
2011   Ohio St.            26   32-2
2012   Ohio St.            10   27-7
2013   Ohio St.            12   26-7
2014   Ohio St.            14   25-9
2015   Ohio St.            76   23-10
2016   Ohio St.            33   20-13
2017   Ohio St.        43   17-15
2010   Oklahoma        18   13-18
2011   Oklahoma        33   14-17
2012   Oklahoma        68   15-16
2013   Oklahoma        22   20-11
2014   Oklahoma        17   23-9
2015   Oklahoma        15   22-10
2016   Oklahoma        15   25-7
2017   Oklahoma        35   11-20
2010   Oklahoma St.    24   22-10
2011   Oklahoma St.    37   19-13
2012   Oklahoma St.    29   14-18
2013   Oklahoma St.    46   24-8
2014   Oklahoma St.    41   21-12
2015   Oklahoma St.    17   17-13
2016   Oklahoma St.    75   12-20
2017   Oklahoma St.    16   19-12
2010   Old Dominion    74   26-8
2011   Old Dominion    61   27-6
2012   Old Dominion   101   20-13
2013   Old Dominion   173   5-25
2014   Old Dominion   135   16-17
2015   Old Dominion   145   24-7
2016   Old Dominion   201   22-13
2017   Old Dominion   200   19-12
2010   Ole Miss        84   21-10
2011   Ole Miss        76   20-13
2012   Ole Miss        49   20-13
2013   Ole Miss       129   26-8
2014   Ole Miss        92   19-14
2015   Ole Miss        51   20-12
2016   Ole Miss       171   20-12
2017   Ole Miss        72   20-13
2014   Omaha          279   13-14
2015   Omaha          344   11-17
2016   Omaha          173   16-13
2017   Omaha          176   17-14
2010   Oral Roberts   188   20-13
2011   Oral Roberts   161   19-15
2012   Oral Roberts   203   27-6
2013   Oral Roberts   168   17-14
2014   Oral Roberts   163   13-16
2015   Oral Roberts   213   16-14
2016   Oral Roberts    85   12-17
2017   Oral Roberts   119   6-22
2010   Oregon          82   16-16
2011   Oregon          59   15-17
2012   Oregon          86   22-9
2013   Oregon         113   26-8
2014   Oregon          21   23-9
2015   Oregon          45   24-9
2016   Oregon           1   27-6
2017   Oregon          33   28-5
2010   Oregon St.     146   14-17
2011   Oregon St.     119   11-20
2012   Oregon St.     137   18-14
2013   Oregon St.     115   14-18
2014   Oregon St.      73   16-15
2015   Oregon St.     122   16-14
2016   Oregon St.      14   18-12
2017   Oregon St.      60   4-27
2010   Pacific        228   20-11
2011   Pacific        204   14-15
2012   Pacific        250   9-19
2013   Pacific        138   20-12
2014   Pacific        110   14-15
2015   Pacific        151   9-19
2016   Pacific        102   6-20
2017   Pacific         81   10-22
2010   Penn           210   6-22
2011   Penn           177   13-15
2012   Penn            95   19-12
2013   Penn           211   9-22
2014   Penn           204   8-20
2015   Penn           162   9-19
2016   Penn           271   10-17
2017   Penn           199   13-15
2010   Penn St.        80   11-20
2011   Penn St.         5   19-14
2012   Penn St.        39   12-20
2013   Penn St.        29   10-21
2014   Penn St.        65   15-17
2015   Penn St.        85   18-16
2016   Penn St.        87   16-16
2017   Penn St.        33   15-18
2010   Pepperdine     189   7-24
2011   Pepperdine     182   11-21
2012   Pepperdine     251   9-19
2013   Pepperdine     176   11-18
2014   Pepperdine     134   14-16
2015   Pepperdine     179   17-13
2016   Pepperdine     137   17-13
2017   Pepperdine      90   8-22
2010   Pittsburgh      13   24-8
2011   Pittsburgh      32   27-5
2012   Pittsburgh      34   17-16
2013   Pittsburgh      81   24-8
2014   Pittsburgh      61   25-9
2015   Pittsburgh      46   18-14
2016   Pittsburgh      31   20-11
2017   Pittsburgh       8   16-17
2010   Portland       128   21-10
2011   Portland       162   20-11
2012   Portland        62   6-24
2013   Portland       114   9-21
2014   Portland       155   15-16
2015   Portland       114   15-15
2016   Portland       150   11-20
2017   Portland       113   9-22
2010   Portland St.   172   13-19
2011   Portland St.   324   13-16
2012   Portland St.   218   15-15
2013   Portland St.   317   6-20
2014   Portland St.   303   15-14
2015   Portland St.   299   13-14
2016   Portland St.   275   11-18
2017   Portland St.   332   12-16
2010   Prairie View   339   16-14
2011   Prairie View   336   7-22
2012   Prairie View   325   11-18
2013   Prairie View   340   12-19
2014   Prairie View   274   10-23
2015   Prairie View   324   14-18
2016   Prairie View   316   7-24
2017   Prairie View   310   11-20
2010   Presbyterian   246   5-26
2011   Presbyterian   201   13-18
2012   Presbyterian   283   13-15
2013   Presbyterian   313   5-24
