Year          Team                 SOS         Record
2016   Boston College     64   7-25
2017   Boston College     39   9-23
2010   Boston U.         192   19-13
2011   Boston U.         212   21-13
2012   Boston U.         230   16-16
2013   Boston U.         208   17-12
2014   Boston U.         137   24-10
2015   Boston U.         112   12-17
2016   Boston U.       280   17-14
2017   Boston U.       238   17-14
2010   Bowling Green   171   14-16
2011   Bowling Green   243   13-19
2012   Bowling Green   149   15-15
2013   Bowling Green   212   11-19
2014   Bowling Green    95   11-20
2015   Bowling Green   239   20-10
2016   Bowling Green   189   14-18
2017   Bowling Green   140   12-19
2010   Bradley          59   16-15
2011   Bradley         150   11-20
2012   Bradley          85   7-25
2013   Bradley         223   16-16
2014   Bradley         199   12-20
2015   Bradley         131   8-24
2016   Bradley         113   4-27
2017   Bradley         135   12-20
2010   Brown           206   11-20
2011   Brown           193   10-17
2012   Brown           234   7-23
2013   Brown           306   12-15
2014   Brown           310   14-13
2015   Brown           192   11-18
2016   Brown           256   7-20
2017   Brown           306   11-17
2010   Bryant          302   1-29
2011   Bryant          145   8-21
2012   Bryant          266   2-28
2013   Bryant          268   19-11
2014   Bryant          235   17-14
2015   Bryant          220   16-15
2016   Bryant          270   7-23
2017   Bryant          252   11-20
2010   Bucknell        327   14-17
2011   Bucknell        221   25-8
2012   Bucknell        187   23-9
2013   Bucknell        189   27-5
2014   Bucknell        208   16-14
2015   Bucknell        174   18-14
2016   Bucknell        238   16-13
2017   Bucknell        190   26-8
2010   Buffalo              140   18-12
2011   Buffalo              239   17-13
2012   Buffalo              112   18-10
2013   Buffalo              155   12-20
2014   Buffalo              177   18-10
2015   Buffalo               59   23-9
2016   Buffalo               80   19-14
2017   Buffalo              116   15-15
2010   Butler                69   28-4
2011   Butler                67   22-9
2012   Butler               108   19-14
2013   Butler                30   25-8
2014   Butler               101   13-17
2015   Butler                41   22-10
2016   Butler                86   21-10
2017   Butler                 9   23-8
2010   BYU                  125   29-5
2011   BYU                   18   29-4
2012   BYU                  104   23-8
2013   BYU                   94   20-11
2014   BYU                   12   22-11
2015   BYU                   66   23-9
2016   BYU                  122   22-10
2017   BYU                   83   22-11
2010   Cal Poly             292   12-19
2011   Cal Poly             302   15-14
2012   Cal Poly             306   16-15
